ENOTA,VDV_MID,VDV_ID,VDV_UIME,VDV_DJ,POV_KM2,D_OD,DV_OD,N8,C1,STATUS,CEN_E,CEN_N
VD,18678063,610036,"HIŠA ZARJA, BEVŠKO 19, TRBOVLJE",,3.45,2022/02/24,2022/02/24,610036,,V,503880,109745
VD,18678071,610038,"Prostovoljno gasilsko društvo Dobovec, Dobovec 24",,21.63,2021/05/19,2021/05/21,610038,,V,506730,107075
VD,18678080,610040,"Šola na Sveti Planini, Sveta Planina 28",,3.64,2021/05/19,2021/05/21,610040,,V,500830,114486
VD,18678098,611002,"Delavski dom II., C.9.avgusta 1, Zagorje",,0.1,2018/04/19,2018/04/20,611002,,V,499800,110216
VD,18678101,611003,"Glasbena šola Zagorje ob Savi I, Kolodvorska c. 2",,2.04,2022/08/31,2022/08/31,611003,,V,499320,108996
VD,18678110,611008,"Okrepčevalnica Gasilček, Kotredež 12, Zagorje",,8.08,2018/04/19,2018/04/20,611008,,V,501450,112146
VD,18678128,611011,"PGD Loke, Loke pri Zagorju 37,Kisovec",,5.04,2018/04/19,2018/04/20,611011,,V,495710,111256
VD,18678136,611012,"Dom Kulture Kisovec,Trg Pohorskega bataljona 24",,1.06,2018/04/19,2018/04/20,611012,,V,497470,110936
VD,18678144,611014,"PGDČolnišče, Čolnišče 12, Zagorje ob Savi",,2.83,2018/04/19,2018/04/20,611014,,V,498220,109836
VD,18678152,611017,"OŠ Ivan Kavčič II., Izlake 4, Izlake",,4.07,2018/04/19,2018/04/20,611017,,V,493506,111969
VD,18678179,611018,"gostinski lokal Drašlar Marka, Orehovica 18",,3.56,2018/04/19,2018/04/20,611018,,V,493440,113936
VD,18678187,611020,"PGD Čemšenik, Čemšenik 16, Čemšenik",,9.52,2018/04/19,2018/04/20,611020,,V,494180,115456
VD,18678195,611025,"hiša Hribar Zorana, Breznik 1, Izlake",,4.08,2018/04/20,2018/04/20,611025,,V,492330,110786
VD,18678209,611026,"PGD Kandrše, Kandrše - del 6, Vače",,6.04,2018/04/20,2018/04/20,611026,,V,487820,110926
VD,18678217,611029,"PGD Šentlambert, Šentlambert 9, Zagorje ob Savi",,10.82,2018/04/20,2018/04/20,611029,,V,495200,107486
VD,18678225,611031,"PGD Tirna, Tirna 16, Sava",,7.29,2018/04/20,2018/04/20,611031,,V,492820,107186
VD,18678241,611035,"PGD Padež, Padež 1, Podkum",,4.67,2018/04/20,2018/04/20,611035,,V,499850,103046
VD,18678250,611036,"Športno društvo Šklendrovec, ID 1889-1019, Podkum",,9.53,2018/04/20,2018/04/20,611036,,V,501280,106536
VD,18678268,610026,"Osnovna šola Tončke Čeč, Keršičeva cesta 50",,0.07,2021/05/19,2021/05/21,610026,,V,503770,111995
VD,18678276,610031,"Gasilsko društvoTrbovlje, Savinjska cesta 35",,0.84,2021/05/25,2021/06/02,610031,,V,503906,114231
VD,18678284,610001,"KNJIŽNICA ANTONA SOVRETA , Trg Franca Kozarja 7",,1.19,2021/05/20,2021/05/20,610001,,V,506040,112165
VD,18678314,610015,"prostori DRUŽINE MEJAČ, ŠAVNA PEČ 5",,2.12,2021/05/20,2021/05/20,610015,,V,509600,108065
VD,18678322,610035,"Sejna soba KS Franc Salamon, Gabrsko 40/a",,8.34,2021/05/19,2021/05/21,610035,,V,500950,116666
VD,18678357,611009,"VDC, Cesta 9.avgusta 59c, Zagorje ob Savi",,1.81,2018/04/19,2018/04/20,611009,,V,500360,111036
VD,18678365,611016,"Hiša Zorec Dejana, Smučidol 4, Izlake",,2.76,2018/04/19,2018/04/20,611016,,V,494890,111486
VD,18678373,611023,"OŠ Mlinše, Mlinše 14, Izlake",,5.46,2017/01/31,2018/06/29,611023,,V,491050,111956
VD,18678381,611027,"PGD Kolovrat, Kolovrat 19, Izlake",,9.95,2018/04/20,2018/04/20,611027,,V,488130,113336
VD,18678390,611033,"PGD Podkum, Podkum 16, Podkum",,7.37,2018/04/20,2018/04/20,611033,,V,502850,103155
VD,18678403,610002,"DRUŠTVO UPOKOJENCEV HRASTNIK, N.A. Kaple 6a",,1.11,2021/05/20,2021/05/20,610002,,V,506600,111765
VD,18678411,610004,OSNOVNA ŠOLA NARODNEGA HEROJA RAJKA HRASTNIK,,0.23,2021/05/20,2021/05/20,610004,,V,506370,111435
VD,18678489,610013,BIVŠA OSNOVNA ŠOLA TURJE,,11.44,2021/05/20,2021/05/20,610013,,V,510830,108445
VD,18678497,610016,"prostori STANOVANJSKE HIŠE KMETIČ, KRNICE 15b",,1.52,2021/05/20,2021/05/20,610016,,V,508610,108815
VD,18678519,610019,ZADRUŽNI DOM ČEČE,,4.47,2021/05/19,2021/05/21,610019,,V,507130,114485
VD,18678551,610028,"Sejna dvorana Občine Trbovlje, Mestni trg 4",,1.12,2021/05/19,2021/05/21,610028,,V,503830,112905
VD,18678560,610030,"JP Komunala Trbovlje, Savinjska cesta 11a",,0.38,2021/05/19,2021/05/21,610030,,V,503320,113736
VD,18678578,610032,"ŠD Rudar, Rudarska cesta 6, vhod spodaj",,0.02,2021/05/19,2021/05/21,610032,,V,503930,112725
VD,18678586,610034,"Osnovna šola Trbovlje, Mestni trg 6, telovadnica",,0.09,2021/05/19,2021/05/21,610034,,V,504370,112765
VD,18678594,610037,"Gasilski dom Čeče, Čeče 4/a",,7.26,2021/05/19,2021/05/21,610037,,V,505340,114105
VD,18678608,610039,"Dom Tončke Čeč, Klek 32",,4.75,2021/05/19,2021/05/21,610039,,V,502780,113246
VD,18678616,611001,"Delavski dom I., Cesta 9. avgusta 1, Zagorje",,0.41,2018/04/19,2018/04/20,611001,,V,499730,110956
VD,18678624,611004,"Glasbena šola Zagorje ob Savi II,Kolodvorska c.2",,2.21,2022/09/02,2022/09/02,611004,,V,498630,108966
VD,18678632,611007,"PGD Ravenska Vas, Ravenska vas 3, Zagorje ob Savi",,4.16,2018/04/19,2018/04/20,611007,,V,501470,110486
VD,18678667,611013,"NK Svoboda Kisovec, Naselje na Šahtu 37, Kisovec",,0.77,2019/03/08,2019/03/08,611013,,V,497420,110766
VD,18678675,611015,"OŠ Ivan Kavčič I., Izlake 4, Izlake",,1.92,2018/04/19,2018/04/20,611015,,V,494360,113716
VD,18678683,611019,"Gostišče Maček, Šentgotard 22, Trojane",,5.22,2018/04/19,2018/04/20,611019,,V,492080,115646
VD,18678691,611021,"Gostilna Zaloka, Jesenovo 31, Čemšenik",,6.23,2018/04/19,2018/04/20,611021,,V,499220,117156
VD,18678713,611028,"hiša Rome Janeza, Briše 17, Izlake",,3.18,2018/04/20,2018/04/20,611028,,V,491810,112536
VD,18678721,611030,"Hiša Vozelj Rada, Kal 3, Zagorje ob Savi",,4.88,2022/02/24,2022/02/24,611030,,V,496440,107656
VD,18678730,611034,"hiša Zupanc Frančiške, Borovak pri Podkumu 7",,5.79,2018/04/20,2018/04/20,611034,,V,504490,103895
VD,18678748,610023,"DKD Svoboda Dobrna, Ribnik 17",,2.95,2021/05/19,2021/05/21,610023,,V,504990,110685
VD,18678756,610007,"ZB ZA VREDNOTE NOB HRASTNIK, Cesta 1. maja 52",,0.45,2021/05/20,2021/05/20,610007,,V,506810,110615
VD,18678772,610014,KRAJEVNA SKUPNOST KOVK,,3.24,2021/05/20,2021/05/20,610014,,V,508360,110015
VD,18678799,610027,"Srednja tehniška in poklicna šola, Novi dom 60",,0.17,2021/05/19,2021/05/21,610027,,V,503720,112135
