ENOTA,SL_MID,SL_ID,SL_UIME,POV_KM2,D_OD,DV_OD,STATUS,CEN_E,CEN_N
SL,18362040,61070,OŠ Franca Rozmana Staneta,4.84,1999/01/07,1999/01/08,V,458749,105417
SL,18362058,61080,OŠ Franceta Bevka,0.9,1999/01/07,1999/01/08,V,461789,104617
SL,18362066,61090,OŠ Hinka Smrekarja,1.22,1999/01/07,1999/01/08,V,460719,103777
SL,18362074,61100,OŠ Jožeta Moškriča,1.09,1999/01/07,1999/01/08,V,463609,102776
SL,18362082,61110,OŠ Karla Destovnika-Kajuha,0.75,1999/01/07,1999/01/08,V,464579,102086
SL,18362104,61120,OŠ Ketteja in Murna,1.54,1999/01/07,1999/01/08,V,463899,101676
SL,18362112,61130,OŠ Kolezija,1.59,1999/01/07,1999/01/08,V,460909,99786
SL,18362139,61140,OŠ Koseze,6.16,1999/01/07,1999/01/08,V,457629,103517
SL,18362147,61150,OŠ Ledina,0.59,1999/01/07,1999/01/08,V,462419,102056
SL,18362155,61160,OŠ Livada,4.94,1999/01/07,1999/01/08,V,461589,98166
SL,18362163,61170,OŠ Majde Vrhovnik,1.55,1999/01/07,1999/01/08,V,461349,101036
SL,18362171,61180,OŠ Maksa Pečarja,13.79,1999/01/07,1999/01/08,V,465219,106926
SL,18362180,61190,OŠ Martina Krpana,0.63,1999/01/07,1999/01/08,V,465289,101366
SL,18362198,61200,OŠ Milana Šuštaršiča,2.16,1999/01/07,1999/01/08,V,462739,104196
SL,18362201,61210,OŠ Mirana Jarca,2.33,1999/01/07,1999/01/08,V,462339,103086
SL,18362210,61220,OŠ Miška Kranjca,5.28,1999/01/07,1999/01/08,V,455029,105007
