ENOTA,NA_MID,NA_ID,NA_UIME,NA_DJ,OB_MID,POV_KM2,D_OD,DV_OD,STATUS,CEN_E,CEN_N
NA,10133491,76,Preloge,,11027393,2.49,1995/01/01,1995/01/01,V,538591,136375
NA,10133505,77,Prepuž,,11027393,1.8,1995/01/01,1995/01/01,V,540731,134915
NA,10133513,78,Pretrež,,11027393,3.55,1995/01/01,1995/01/01,V,548251,134605
NA,10133521,15,Prihova,,21427861,1.28,1998/11/22,1998/11/27,V,537461,137005
NA,10133530,16,Raskovec,,21427861,0.72,1998/11/22,1998/11/27,V,536721,137375
NA,10133548,81,Razgor pri Žabljeku,,11027393,1.67,1998/11/01,1998/11/16,V,542681,133635
NA,10133556,82,Rep,,11027393,1.49,1995/01/01,1995/01/01,V,537741,142925
NA,10133564,83,Ritoznoj,,11027393,2.11,1995/01/01,1995/01/01,V,545161,142085
NA,10133572,7,Savinsko,,21436461,1.32,2006/04/06,2006/04/12,V,553131,133952
NA,10133599,85,Sele pri Polskavi,,11027393,1.73,1995/01/01,1995/01/01,V,548481,142335
NA,10133602,86,Sevec,,11027393,1.48,1995/01/01,1995/01/01,V,539761,135685
NA,10133629,87,Slovenska Bistrica,,11027393,7.97,1995/01/01,1995/01/01,V,544231,139115
NA,10133637,88,Smrečno,,11027393,5.25,1995/01/01,1995/01/01,V,538291,145695
NA,10133645,14,Spodnja Brežnica,,21436488,1.58,2006/04/06,2006/04/12,V,543621,131935
NA,10133653,90,Spodnja Ložnica,,11027393,3.1,1995/01/01,1995/01/01,V,541451,138105
NA,10133661,91,Spodnja Nova vas,,11027393,3.65,1995/01/01,1995/01/01,V,546021,138385
NA,10133670,92,Spodnja Polskava,,11027393,8.54,1995/01/01,1995/01/01,V,548731,141805
NA,10133688,15,Spodnje Poljčane,,21436488,1.3,2006/04/06,2006/04/12,V,545071,130285
NA,10133696,94,Spodnje Prebukovje,,11027393,1.23,1995/01/01,1995/01/01,V,543251,142765
NA,10133700,16,Stanovsko,,21436488,2.88,2006/04/06,2006/04/12,V,543031,131405
NA,10133718,8,Stari Grad,,21436461,10.25,2006/04/06,2006/04/12,V,551330,128084
NA,10133726,97,Stari Log,,11027393,3.57,1995/01/01,1995/01/01,V,550101,138265
NA,10133734,9,Stopno,,21436461,1.03,2006/04/06,2006/04/12,V,554301,133534
NA,10133742,10,Stranske Makole,,21436461,1.08,2006/04/06,2006/04/12,V,550911,131615
NA,10133769,17,Straža pri Oplotnici,,21427861,0.81,1998/11/22,1998/11/27,V,536431,138135
NA,10133777,11,Strug,,21436461,1.13,2006/04/06,2006/04/12,V,553441,133274
NA,10133785,17,Studenice,,21436488,4.55,2006/04/06,2006/04/12,V,547241,129205
NA,10133793,103,Šentovec,,11027393,0.96,1995/01/01,1995/01/01,V,544741,141535
NA,10133807,104,Šmartno na Pohorju,,11027393,3.14,1995/01/01,1995/01/01,V,541471,145135
NA,10133815,12,Štatenberg,,21436461,3.5,2006/04/06,2006/04/12,V,549631,132085
NA,10133823,106,Tinjska Gora,,11027393,1.46,1995/01/01,1995/01/01,V,539011,140645
NA,10133831,107,Trnovec pri Slovenski Bistrici,,11027393,2.88,1998/11/01,1998/11/16,V,550201,135305
NA,10133840,108,Turiška vas na Pohorju,,11027393,0.99,1995/01/01,1995/01/01,V,539251,142005
NA,10133858,18,Ugovec,,21427861,1.17,1998/11/22,1998/11/27,V,536901,138865
NA,10133866,110,Urh,,11027393,2.9,1995/01/01,1995/01/01,V,538901,143415
NA,10133874,13,Varoš,,21436461,1.12,2006/04/06,2006/04/12,V,552951,132334
NA,10133882,112,Veliko Tinje,,11027393,1.46,1995/01/01,1995/01/01,V,538591,141865
NA,10133904,113,Videž,,11027393,1.9,1995/01/01,1995/01/01,V,543251,135535
NA,10133912,114,Vinarje,,11027393,2.08,1995/01/01,1995/01/01,V,538341,136995
NA,10133939,115,Visole,,11027393,1.96,1995/01/01,1995/01/01,V,540951,140209
NA,10133947,116,Vrhloga,,11027393,2.77,1995/01/01,1995/01/01,V,548631,136155
NA,10133955,117,Vrhole pri Laporju,,11027393,2.58,1995/01/01,1995/01/01,V,548061,131435
NA,10133963,118,Vrhole pri Slov. Konjicah,,11027393,2.31,1995/01/01,1995/01/01,V,539931,137085
NA,10133971,119,Zgornja Bistrica,,11027393,2.99,1995/01/01,1995/01/01,V,541861,140485
NA,10133980,120,Zgornja Brežnica,,11027393,0.88,1995/01/01,1995/01/01,V,544371,133295
NA,10133998,121,Zgornja Ložnica,,11027393,1.95,1995/01/01,1995/01/01,V,539831,138505
NA,10134005,122,Zgornja Nova vas,,11027393,1.61,1995/01/01,1995/01/01,V,541261,143195
NA,10134013,123,Zgornja Polskava,,11027393,2.77,1995/01/01,1995/01/01,V,546651,143085
NA,10134021,19,Zgornje Grušovje,,21427861,1.34,1998/11/22,1998/11/27,V,537631,136245
NA,10134030,18,Zgornje Poljčane,,21436488,4.15,2006/04/06,2006/04/12,V,544951,129385
NA,10134048,126,Zgornje Prebukovje,,11027393,4.58,1995/01/01,1995/01/01,V,542011,143685
NA,10134056,19,Zlakova,,11027687,1.49,1995/01/01,1995/01/01,V,530951,138625
NA,10134064,20,Zlogona Gora,,21427861,0.56,1998/11/22,1998/11/27,V,535812,139486
NA,10134072,21,Zlogona vas,,21427861,1.21,1998/11/22,1998/11/27,V,535761,139985
NA,10134099,129,Žabljek,,11027393,1.94,1995/01/01,1995/01/01,V,542751,134435
NA,10134102,44,Križni Vrh,,11027393,1.91,1995/01/01,1995/01/01,V,544371,134745
NA,10134129,1,Bezina,,11027407,2.38,1995/01/01,1995/01/01,V,533301,135495
NA,10134137,1,Bezovje nad Zrečami,,11027687,1.12,1995/01/01,1995/01/01,V,530831,139775
NA,10134145,2,Blato,,11027407,0.4,1995/01/01,1995/01/01,V,533501,132425
NA,10134153,2,Boharina,,11027687,2.54,1995/01/01,1995/01/01,V,528321,140565
NA,10134161,3,Brdo,,11027407,1.14,1995/01/01,1995/01/01,V,534771,134805
NA,10134170,4,Breg pri Konjicah,,11027407,1.27,1995/01/01,1995/01/01,V,534401,132715
NA,10134188,1,Brezen,,11028071,10.98,1995/01/01,1995/01/01,V,520131,137655
NA,10134196,5,Brezje pri Ločah,,11027407,1.24,1995/01/01,1995/01/01,V,538631,133105
NA,10134200,3,Bukovlje,,11027687,4.59,1998/09/16,1998/10/01,V,528201,134855
NA,10134218,4,Črešnova,,11027687,0.86,1995/01/01,1995/01/01,V,530181,139505
NA,10134226,6,Dobrava pri Konjicah,,11027407,0.44,1995/01/01,1995/01/01,V,531821,134035
