ENOTA,UL_MID,UL_ID,UL_UIME,UL_DJ,NA_MID,OB_MID,D_OD,DV_OD,STATUS
UL,16211800,5,Jagrova ulica,,10111943,11027504,1995/01/01,1995/01/01,V
UL,16211818,6,Kamnikarjeva ulica,,10111943,11027504,1995/01/01,1995/01/01,V
UL,16211826,7,Nebčeva ulica,,10111943,11027504,1995/01/01,1995/01/01,V
UL,16211834,8,Pod Strahom,,10111943,11027504,1995/01/01,1995/01/01,V
UL,16211842,10,Selska ulica,,10111943,11027504,1995/01/01,1995/01/01,V
UL,16211869,12,Šeparjeva pot,,10111943,11027504,1995/01/01,1995/01/01,V
UL,16211877,11,Srednjevaška ulica,,10111943,11027504,1995/01/01,1995/01/01,V
UL,16211885,13,Vrečarjeva ulica,,10111943,11027504,1995/01/01,1995/01/01,V
UL,16211893,4,Dolenjska cesta,,10111943,11027504,2002/12/04,2002/12/09,V
UL,16211907,205,Dolenjska cesta,,10110084,11027849,2002/12/04,2002/12/09,V
UL,16211915,5,Dolenjska cesta,,10112893,11027504,2002/12/04,2002/12/09,V
UL,16211923,9,Pot na Debeli hrib,,10111943,11027504,2002/12/04,2002/12/09,V
UL,16211940,1,Abramova ulica,,10110084,11027849,1995/01/01,1995/01/01,V
UL,16211958,26,Ažbetova ulica,,10110084,11027849,1995/01/01,1995/01/01,V
UL,16211966,28,Bajtova ulica,,10110084,11027849,1995/01/01,1995/01/01,V
UL,16211974,48,Bičevje,,10110084,11027849,1995/01/01,1995/01/01,V
UL,16211982,52,Bizjakova ulica,,10110084,11027849,1995/01/01,1995/01/01,V
UL,16212008,55,Bizovški štradon,,10110084,11027849,1995/01/01,1995/01/01,V
UL,16212016,59,Bobenčkova ulica,,10110084,11027849,1995/01/01,1995/01/01,V
UL,16212024,61,Bogišićeva ulica,,10110084,11027849,1995/01/01,1995/01/01,V
UL,16212032,69,Borsetova ulica,,10110084,11027849,1995/01/01,1995/01/01,V
UL,16212059,81,Brdnikova ulica,,10110084,11027849,1995/01/01,1995/01/01,V
UL,16212067,91,Cankarjev vrh,,10110084,11027849,1995/01/01,1995/01/01,V
UL,16212075,99,Cerkniška ulica,,10110084,11027849,1995/01/01,1995/01/01,V
UL,16212083,105,Cesta Dolomitskega odreda,,10110084,11027849,1995/01/01,1995/01/01,V
UL,16212091,106,Cesta dveh cesarjev,,10110084,11027849,1995/01/01,1995/01/01,V
UL,16212105,110,Cesta na Bokalce,,10110084,11027849,1995/01/01,1995/01/01,V
UL,16212113,111,Cesta na Brdo,,10110084,11027849,1995/01/01,1995/01/01,V
UL,16212121,118,Cesta na Loko,,10110084,11027849,1995/01/01,1995/01/01,V
UL,16212130,124,Cesta na Rožnik,,10110084,11027849,1995/01/01,1995/01/01,V
